"reference","slug","order","title","description","sujets","resource_categories","ressource","language","directory","link"
"php-w3schools-php-home","php-home","1","PHP HOME","","","php-tutorial","php-w3schools","en","php-w3schools/php-tutorial",""
"php-w3schools-php-intro","php-intro","2","PHP Intro","","","php-tutorial","php-w3schools","en","php-w3schools/php-tutorial",""
"php-w3schools-php-install","php-install","3","PHP Install","","","php-tutorial","php-w3schools","en","php-w3schools/php-tutorial",""
"php-w3schools-php-syntax","php-syntax","4","PHP Syntax","","","php-tutorial","php-w3schools","en","php-w3schools/php-tutorial",""
"php-w3schools-php-comments","php-comments","5","PHP Comments","","","php-tutorial","php-w3schools","en","php-w3schools/php-tutorial",""
"php-w3schools-php-variables","php-variables","6","PHP Variables","","","php-tutorial","php-w3schools","en","php-w3schools/php-tutorial",""
"php-w3schools-php-echo-print","php-echo-print","7","PHP Echo / Print","","","php-tutorial","php-w3schools","en","php-w3schools/php-tutorial",""
"php-w3schools-php-data-types","php-data-types","8","PHP Data Types","","","php-tutorial","php-w3schools","en","php-w3schools/php-tutorial",""
"php-w3schools-php-strings","php-strings","9","PHP Strings","","","php-tutorial","php-w3schools","en","php-w3schools/php-tutorial",""
"php-w3schools-php-numbers","php-numbers","10","PHP Numbers","","","php-tutorial","php-w3schools","en","php-w3schools/php-tutorial",""
"php-w3schools-php-casting","php-casting","11","PHP Casting","","","php-tutorial","php-w3schools","en","php-w3schools/php-tutorial",""
"php-w3schools-php-math","php-math","12","PHP Math","","","php-tutorial","php-w3schools","en","php-w3schools/php-tutorial",""
"php-w3schools-php-constants","php-constants","13","PHP Constants","","","php-tutorial","php-w3schools","en","php-w3schools/php-tutorial",""
"php-w3schools-php-magic-constants","php-magic-constants","14","PHP Magic Constants","","","php-tutorial","php-w3schools","en","php-w3schools/php-tutorial",""
"php-w3schools-php-operators","php-operators","15","PHP Operators","","","php-tutorial","php-w3schools","en","php-w3schools/php-tutorial",""
"php-w3schools-php-ifelseelseif","php-ifelseelseif","16","PHP If...Else...Elseif","","","php-tutorial","php-w3schools","en","php-w3schools/php-tutorial",""
"php-w3schools-php-switch","php-switch","17","PHP Switch","","","php-tutorial","php-w3schools","en","php-w3schools/php-tutorial",""
"php-w3schools-php-loops","php-loops","18","PHP Loops","","","php-tutorial","php-w3schools","en","php-w3schools/php-tutorial",""
"php-w3schools-php-functions","php-functions","19","PHP Functions","","","php-tutorial","php-w3schools","en","php-w3schools/php-tutorial",""
"php-w3schools-php-arrays","php-arrays","20","PHP Arrays","","","php-tutorial","php-w3schools","en","php-w3schools/php-tutorial",""
"php-w3schools-php-superglobals","php-superglobals","21","PHP Superglobals","","","php-tutorial","php-w3schools","en","php-w3schools/php-tutorial",""
"php-w3schools-php-regex","php-regex","22","PHP RegEx","","","php-tutorial","php-w3schools","en","php-w3schools/php-tutorial",""
"php-w3schools-php-form-handling","php-form-handling","23","PHP Form Handling","","","php-forms","php-w3schools","en","php-w3schools/php-forms",""
"php-w3schools-php-form-validation","php-form-validation","24","PHP Form Validation","","","php-forms","php-w3schools","en","php-w3schools/php-forms",""
"php-w3schools-php-form-required","php-form-required","25","PHP Form Required","","","php-forms","php-w3schools","en","php-w3schools/php-forms",""
"php-w3schools-php-form-urle-mail","php-form-urle-mail","26","PHP Form URL/E-mail","","","php-forms","php-w3schools","en","php-w3schools/php-forms",""
"php-w3schools-php-form-complete","php-form-complete","27","PHP Form Complete","","","php-forms","php-w3schools","en","php-w3schools/php-forms",""
"php-w3schools-php-advanced","php-advanced","28","PHP Advanced","","","php-advanced","php-w3schools","en","php-w3schools/php-advanced",""
